Country Name,pbi 2023,poblacion_total 2023,pbi_percapita 2023,inversion_extranjera 2023
Afganistán,0.0,4.2239856E7,0.0,0.0
Albania,2.29776773E10,2745972.0,8367.775,1.153911
Alemania,4.456081E12,8.4482264E7,52745.754,1.8045903
América Latina y el Caribe,7.0943297E12,6.6415533E8,10681.733,0.58837503
América Latina y el Caribe (BIRF y la AIF),6.7727817E12,6.4876333E8,10439.526,0.5832149
América Latina y el Caribe (excluido altos ingresos),6.0505808E12,6.0082566E8,10070.443,0.58903646
América del Norte,2.95092963E13,3.7507616E8,78675.484,1.8204739
Andorra,3.7276736E9,80088.0,46544.723,0.0
Angola,8.4722958E10,3.66842E7,2309.5217,0.03937086
Antigua y Barbuda,2.03308518E9,94298.0,21560.215,0.36785904
Arabia Saudita,1.06758295E12,3.6947024E7,28894.963,1.5053829
Argelia,2.39899492E11,4.560648E7,5260.206,0.034828972
Argentina,6.405914E11,4.665458E7,13730.515,0.46228248
Armenia,2.42121339E10,2777970.0,8715.766,0.22242819
Aruba,0.0,106277.0,0.0,0.0
Asia meridional,4.4755677E12,1.9385495E9,2308.7197,0.31615078
Asia meridional (BIRF y la AIF),4.4755677E12,1.9385495E9,2308.7197,0.31615078
Asia oriental y el Pacífico,3.07756595E13,2.38060109E9,12927.684,2.0801675
Asia oriental y el Pacífico (BIRF y la AIF),2.11241214E13,2.1075223E9,10023.202,1.0163703
Asia oriental y el Pacífico (excluido altos ingresos),2.11502477E13,2.13365222E9,9912.697,1.0163703
Australia,1.72382722E12,2.6638544E7,64711.766,0.86483675
Austria,5.16034134E11,9132383.0,56505.97,0.96139264
Azerbaiyán,7.2356176E10,1.0112555E7,7155.0835,2.5916586
BIRF y la AIF,4.1559723E13,6.8197504E9,6094.024,0.7533873
Bahamas,1.43384996E10,412623.0,34749.637,2.9219396
Bahrein,4.3205001E10,1485509.0,29084.307,2.5761645
Bangladesh,4.37415346E11,1.7295432E8,2529.08,-4.715517E-4
Barbados,6.3935642E9,281995.0,22672.615,0.12512583
Belarús,7.1857381E10,9178298.0,7829.053,0.04575271
Belice,3.2814999E9,410825.0,7987.586,0.068720765
Benin,1.96732846E10,1.3712828E7,1434.6628,0.24884467
Bermudas,0.0,63489.0,0.0,0.0
Bhután,0.0,787424.0,0.0,0.0
Bolivia,4.5849833E10,1.2388571E7,3700.9783,0.5595315
Bosnia y Herzegovina,2.7054889E10,3210847.0,8426.091,0.17049794
Botswana,1.93957642E10,2675352.0,7249.7993,0.048916373
Brasil,2.17366567E12,2.16422448E8,10043.624,1.1569535
Brunei Darussalam,1.51282934E10,452524.0,33430.918,0.0
Bulgaria,1.01584388E11,6430370.0,15797.596,1.082696
Burkina Faso,2.03246182E10,2.3251484E7,874.1213,0.025458142
Burundi,2.64216166E9,1.3238559E7,199.58076,0.044285543
Bélgica,6.3221655E11,1.1822592E7,53475.293,-4.6695557
Cabo Verde,2.58725197E9,598682.0,4321.58,0.32978678
Camboya,3.17727601E10,1.6944826E7,1875.0715,0.47654188
Camerún,4.7945511E10,2.8647292E7,1673.6489,-0.22761941
Canadá,2.14008555E12,4.009776E7,53371.7,3.877152
Chad,1.31493253E10,1.8278568E7,719.3849,0.0
Chile,3.35533343E11,1.962959E7,17093.242,1.8710487
China,1.77947814E13,1.41071002E9,12614.061,1.0413246
Chipre,3.22296218E10,1260138.0,34701.44,-40.38849
Colombia,3.63540152E11,5.2085168E7,6979.725,0.32318076
Comoras,1.35238093E9,852075.0,1587.1619,0.0
"Congo, República Democrática del",6.6383286E10,1.02262808E8,649.144,0.35475168
"Congo, República del",1.53210563E10,6106869.0,2508.8235,0.17207998
"Corea, República Popular Democrática de",0.0,2.616082E7,0.0,0.0
"Corea, República de",1.7127928E12,5.171262E7,33121.37,2.0166245
Costa Rica,8.6497944E10,5212173.0,16595.371,1.1409116
Croacia,8.2688844E10,3853200.0,21459.785,1.6478446
Cuba,0.0,1.1194449E7,0.0,0.0
Curacao,0.0,147862.0,0.0,0.0
Côte d'Ivoire,7.8788829E10,2.8873034E7,2728.8032,0.27276108
Dinamarca,4.04198752E11,5946952.0,67967.38,2.7308164
Djibouti,4.09853056E9,1136455.0,3606.417,0.0
Dominica,6.5399258E8,73040.0,8953.896,-0.12166116
Ecuador,1.18844826E11,1.8190484E7,6533.3516,0.0
"Egipto, República Árabe de",3.95926077E11,1.127166E8,3512.58,0.09860427
El Salvador,3.40156191E10,6364943.0,5344.2144,-0.27096277
El mundo árabe,3.49151691E12,4.73272064E8,7377.399,1.6958994
Emiratos Árabes Unidos,5.04173462E11,9516871.0,52976.81,4.4286566
Eritrea,0.0,3748901.0,0.0,0.0
Eslovenia,6.8216783E10,2120937.0,32163.512,0.85064214
España,1.58069477E12,4.8373336E7,32676.984,1.8396609
Estados Unidos,2.7360934E13,3.3491488E8,81695.19,1.659607
Estados pequeos de las Islas del Pacfico,1.12322314E10,2677728.0,4194.6875,0.42152852
Estados pequeos del Caribe,5.3252637E10,3167738.0,16810.936,0.86395615
Estonia,4.0744849E10,1366188.0,29823.75,5.602687
Eswatini,4.5978557E9,1210822.0,3797.3013,-0.4926882
Etiopía,1.63697934E11,1.26527056E8,1293.778,0.0
Europa Central y del Báltico,2.25297092E12,1.00156608E8,22494.48,-2.1701422
Europa y Asia central,2.72406287E13,9.2392973E8,29483.441,-0.7307758
Europa y Asia central (BIRF y la AIF),5.466276E12,4.5732608E8,11952.688,0.7200483
Europa y Asia central (excluido altos ingresos),2.09834974E12,2.47474432E8,8479.057,0.6186248
Federación de Rusia,2.02142148E12,1.43826128E8,13817.046,0.47581264
Fiji,5.4947973E9,936375.0,5868.159,0.52733827
Filipinas,4.37146386E11,1.17337368E8,3725.5513,0.8933461
Finlandia,3.00187189E11,5584264.0,53755.91,0.6822577
Francia,3.03090421E12,6.8170224E7,44460.816,1.2971796
Frágiles y situaciones de conflicto afectados,1.90680112E12,1.04270381E9,1828.7084,0.14979672
Gabón,2.05161349E10,2436566.0,8420.103,0.0
Gambia,2.33990426E9,2773168.0,843.76575,-0.026030125
Georgia,3.05355305E10,3760365.0,8120.3633,1.5457776
Ghana,7.6370395E10,3.4121984E7,2238.158,0.014411361
Gibraltar,0.0,32688.0,0.0,0.0
Granada,1.32033421E9,126183.0,10463.6455,0.96600753
Grecia,2.38206321E11,1.0361295E7,22990.014,1.4656148
Groenlandia,0.0,56865.0,0.0,0.0
Guam,0.0,172952.0,0.0,0.0
Guatemala,1.02050472E11,1.7602432E7,5797.5215,0.64505184
Guinea,2.36122952E10,1.4190612E7,1663.9379,3.670545E-4
Guinea Ecuatorial,1.21169224E10,1714671.0,7066.6167,0.0
Guinea-Bissau,1.96646144E9,2150842.0,914.27515,0.013093062
Guyana,1.6786302E10,813834.0,20626.2,0.041104943
Haití,1.98508298E10,1.1724763E7,1693.0687,0.0
Honduras,3.440051E10,1.0593798E7,3247.231,0.6620829
"Hong Kong, Región Administrativa Especial",3.82054564E11,7536100.0,50696.59,26.88417
Hungría,2.12388905E11,9589872.0,22147.209,-37.063793
India,3.54991892E12,1.42862771E9,2484.8455,0.39095446
Indonesia,1.37117119E12,2.77534112E8,4940.55,0.5179131
Ingreso alto,6.7653742E13,1.40302144E9,48220.03,1.2420355
Ingreso mediano,3.678694E13,5.8701532E9,6266.7773,0.7575633
