location,date,total_cases,new_cases
Afghanistan,2022-04-08,177805,0
Africa,2022-04-08,11945131,0
Albania,2022-04-08,273759,0
Algeria,2022-04-08,265684,0
American Samoa,2022-04-08,4656,0
Andorra,2022-04-08,40024,0
Angola,2022-04-08,99194,0
Anguilla,2022-04-08,2700,0
Antigua and Barbuda,2022-04-08,7493,0
Argentina,2022-04-08,9030866,0
Armenia,2022-04-08,422574,0
Aruba,2022-04-08,33966,0
Asia,2022-04-08,140668688,0
Australia,2022-04-08,4563382,0
Austria,2022-04-08,3890190,0
Azerbaijan,2022-04-08,792019,0
Bahamas,2022-04-08,33295,0
Bahrain,2022-04-08,555560,0
Bangladesh,2022-04-08,1951770,0
Barbados,2022-04-08,59495,0
Belarus,2022-04-08,964677,0
Belgium,2022-04-08,3877957,0
Belize,2022-04-08,57289,0
Benin,2022-04-08,26595,0
Bermuda,2022-04-08,12564,0
Bhutan,2022-04-08,31437,0
Bolivia,2022-04-08,902448,0
Bonaire Sint Eustatius and Saba,2022-04-08,8189,0
Bosnia and Herzegovina,2022-04-08,375665,0
Botswana,2022-04-08,305770,0
Brazil,2022-04-08,29975165,0
British Virgin Islands,2022-04-08,6141,0
Brunei,2022-04-08,135974,0
Bulgaria,2022-04-08,1140453,0
Burkina Faso,2022-04-08,20858,0
Burundi,2022-04-08,38588,0
Cambodia,2022-04-08,135747,0
Cameroon,2022-04-08,119725,0
Canada,2022-04-08,3492403,0
Cape Verde,2022-04-08,55960,0
Cayman Islands,2022-04-08,20606,0
Central African Republic,2022-04-08,14352,0
Chad,2022-04-08,7308,0
Chile,2022-04-08,3482175,0
China,2022-04-08,922543,0
Colombia,2022-04-08,6085270,0
Comoros,2022-04-08,8093,0
Congo,2022-04-08,24017,0
Cook Islands,2022-04-08,2406,0
Costa Rica,2022-04-08,839368,0
Cote d'Ivoire,2022-04-08,81761,0
Croatia,2022-04-08,1101921,0
Cuba,2022-04-08,1091852,0
Curacao,2022-04-08,40346,0
Cyprus,2022-04-08,436949,0
Czechia,2022-04-08,4093474,0
Democratic Republic of Congo,2022-04-08,86872,0
Denmark,2022-04-08,3064625,0
Djibouti,2022-04-08,15588,0
Dominica,2022-04-08,11897,0
Dominican Republic,2022-04-08,578179,0
East Timor,2022-04-08,22832,0
Ecuador,2022-04-08,861753,0
Egypt,2022-04-08,509177,0
El Salvador,2022-04-08,161052,0
Equatorial Guinea,2022-04-08,15904,0
Eritrea,2022-04-08,9728,0
Estonia,2022-04-08,544080,0
Eswatini,2022-04-08,69838,0
Ethiopia,2022-04-08,469806,0
Europe,2022-04-08,181201235,0
European Union (27),2022-04-08,126893438,0
Falkland Islands,2022-04-08,124,0
Faroe Islands,2022-04-08,34658,0
Fiji,2022-04-08,64417,0
Finland,2022-04-08,997537,0
France,2022-04-08,25076110,0
French Guiana,2022-04-08,79075,0
French Polynesia,2022-04-08,72386,0
Gabon,2022-04-08,47586,0
Gambia,2022-04-08,11990,0
Georgia,2022-04-08,1649222,0
Germany,2022-04-08,21861236,0
Ghana,2022-04-08,161034,0
Gibraltar,2022-04-08,16979,0
Greece,2022-04-08,3085410,0
Greenland,2022-04-08,11971,0
Grenada,2022-04-08,14024,0
Guadeloupe,2022-04-08,139516,0
Guam,2022-04-08,39910,0
Guatemala,2022-04-08,829881,0
Guernsey,2022-04-08,22257,0
Guinea,2022-04-08,36502,0
Guinea-Bissau,2022-04-08,8151,0
Guyana,2022-04-08,63258,0
Haiti,2022-04-08,30575,0
High-income countries,2022-04-08,276382281,0
Honduras,2022-04-08,421170,0
Hungary,2022-04-08,1854198,0
Iceland,2022-04-08,174342,0
India,2022-04-08,43028131,0
Indonesia,2022-04-08,6019981,0
Iran,2022-04-08,7166371,0
Iraq,2022-04-08,2320126,0
Ireland,2022-04-08,1479162,0
Isle of Man,2022-04-08,28890,0
Israel,2022-04-08,3939698,0
Italy,2022-04-08,14790806,0
Jamaica,2022-04-08,128811,0
Japan,2022-04-08,6702086,0
Jersey,2022-04-08,47025,0
Jordan,2022-04-08,1694216,0
Kazakhstan,2022-04-08,1393892,0
Kenya,2022-04-08,323450,0
Kiribati,2022-04-08,3067,0
Kosovo,2022-04-08,227490,0
Kuwait,2022-04-08,629525,0
Kyrgyzstan,2022-04-08,82858,0
Laos,2022-04-08,183560,0
Latvia,2022-04-08,802532,0
Lebanon,2022-04-08,1092807,0
Lesotho,2022-04-08,32910,0
Liberia,2022-04-08,7400,0
Libya,2022-04-08,501738,0
Liechtenstein,2022-04-08,16497,0
Lithuania,2022-04-08,1117987,0
Low-income countries,2022-04-08,1778556,0
Lower-middle-income countries,2022-04-08,85155351,0
Luxembourg,2022-04-08,238752,0
Madagascar,2022-04-08,64050,0
Malawi,2022-04-08,85657,0
Malaysia,2022-04-08,4246467,0
Maldives,2022-04-08,177759,0
Mali,2022-04-08,30493,0
Malta,2022-04-08,81725,0
Marshall Islands,2022-04-08,7,0
Martinique,2022-04-08,145966,0
Mauritania,2022-04-08,58670,0
Mauritius,2022-04-08,214425,0
Mayotte,2022-04-08,36839,0
Mexico,2022-04-08,5760753,0
Micronesia (country),2022-04-08,0,0
Moldova,2022-04-08,514199,0
Monaco,2022-04-08,11289,0
Mongolia,2022-04-08,919544,0
Montenegro,2022-04-08,205097,0
Montserrat,2022-04-08,175,0
Morocco,2022-04-08,1163472,0
Mozambique,2022-04-08,225264,0
Myanmar,2022-04-08,611875,0
Namibia,2022-04-08,157757,0
Nauru,2022-04-08,2,0
Nepal,2022-04-08,978475,0
Netherlands,2022-04-08,7923000,0
New Caledonia,2022-04-08,60430,0
New Zealand,2022-04-08,701983,0
Nicaragua,2022-04-08,14269,0
Niger,2022-04-08,8810,0
Nigeria,2022-04-08,255468,0
Niue,2022-04-08,7,0
North America,2022-04-08,94944290,0
North Korea,2022-04-08,0,0
North Macedonia,2022-04-08,306616,0
Northern Mariana Islands,2022-04-08,11065,0
Norway,2022-04-08,1409933,0
Oceania,2022-04-08,5597099,0
Oman,2022-04-08,388432,0
Pakistan,2022-04-08,1525181,0
Palau,2022-04-08,4042,0
Palestine,2022-04-08,656287,0
Panama,2022-04-08,764831,0
Papua New Guinea,2022-04-08,43388,0
Paraguay,2022-04-08,648353,0
Peru,2022-04-08,3547606,0
Philippines,2022-04-08,3679175,0
Pitcairn,2022-04-08,0,0
Poland,2022-04-08,5969086,0
Portugal,2022-04-08,3763712,0
Puerto Rico,2022-04-08,505229,0
Qatar,2022-04-08,361667,0
Reunion,2022-04-08,336945,0
Romania,2022-04-08,2858665,0
Russia,2022-04-08,17896866,0
Rwanda,2022-04-08,129729,0
