fecha,valor
2006-03-31,11.1
2006-04-30,11.6
2006-05-31,11.5
2006-06-30,11.0
2006-07-31,10.6
2006-08-31,10.7
2006-09-30,10.4
2006-10-31,10.5
2006-11-30,10.0
2006-12-31,9.8
2007-01-31,9.7
2007-02-28,9.6
2007-03-31,9.1
2007-04-30,8.9
2007-05-31,8.8
2007-06-30,8.8
2007-07-31,8.6
2007-08-31,8.7
2007-09-30,8.6
2007-10-31,8.4
2007-11-30,8.5
2007-12-31,8.5
2008-01-31,8.2
2008-02-29,8.4
2008-03-31,8.8
2008-04-30,8.9
2008-05-31,9.1
2008-06-30,9.3
2008-07-31,9.1
2008-08-31,9.0
2008-09-30,8.7
2008-10-31,8.4
2008-11-30,7.9
2008-12-31,7.2
2009-01-31,6.8
2009-02-28,6.8
2009-03-31,6.3
2009-04-30,5.7
2009-05-31,5.5
2009-06-30,5.3
2009-07-31,5.5
2009-08-31,5.9
2009-09-30,6.2
2009-10-31,6.5
2009-11-30,7.1
2009-12-31,7.7
2010-01-31,8.2
2010-02-28,9.1
2010-03-31,9.7
2010-04-30,10.2
2010-05-31,10.7
2010-06-30,11.0
2010-07-31,11.2
2010-08-31,11.1
2010-09-30,11.1
2010-10-31,11.1
2010-11-30,11.0
2010-12-31,10.9
2011-01-31,10.6
2011-02-28,10.0
2011-03-31,9.7
2011-04-30,9.7
2011-05-31,9.7
2011-06-30,9.7
2011-07-31,9.7
2011-08-31,9.8
2011-09-30,9.9
2011-10-31,9.7
2011-11-30,9.5
2011-12-31,9.5
2012-01-31,9.7
2012-02-29,9.7
2012-03-31,9.8
2012-04-30,9.8
