fecha,valor
2012-05-31,9.9
2012-06-30,9.9
2012-07-31,9.9
2012-08-31,10.0
2012-09-30,10.0
2012-10-31,10.2
2012-11-30,10.6
2012-12-31,10.8
2013-01-31,11.1
2013-02-28,10.8
2013-03-31,10.6
2013-04-30,10.5
2013-05-31,10.3
2013-06-30,10.5
2013-07-31,10.6
2013-08-31,10.5
2013-09-30,10.5
2013-10-31,10.5
2013-11-30,10.5
2013-12-31,10.9
2014-01-31,13.6
2014-02-28,16.9
2014-03-31,19.1
2014-04-30,20.4
2014-05-31,21.2
2014-06-30,21.8
2014-07-31,22.4
2014-08-31,22.9
2014-09-30,23.6
2014-10-31,24.0
2014-11-30,24.2
2014-12-31,23.7
2015-01-31,20.7
2015-02-28,17.9
2015-03-31,16.4
2015-04-30,15.6
2015-05-31,15.2
2015-06-30,14.8
2015-07-31,14.8
2015-08-31,14.6
2015-09-30,14.4
2015-10-31,14.3
2015-11-30,15.2
2015-12-31,18.5
2016-01-31,22.0
2016-02-29,24.2
2016-03-31,26.2
2016-04-30,29.0
2016-05-31,33.1
2016-06-30,35.8
2016-07-31,36.8
2016-08-31,35.5
2016-09-30,35.5
2016-10-31,37.1
2016-11-30,36.7
2016-12-31,33.1
2017-01-31,29.9
2017-02-28,29.1
2017-03-31,28.3
2017-04-30,27.4
2017-05-31,24.0
2017-06-30,21.8
2017-07-31,21.4
2017-08-31,22.8
2017-09-30,23.8
2017-10-31,22.7
2017-11-30,22.4
2017-12-31,24.8
2018-01-31,25.0
2018-02-28,25.4
2018-03-31,25.4
2018-04-30,25.5
2018-05-31,26.3
2018-06-30,29.5
