fecha,valor
2000-01-31,0.8
2000-02-29,0.0
2000-03-31,-0.5
2000-04-30,-0.1
2000-05-31,-0.4
2000-06-30,-0.2
2000-07-31,0.4
2000-08-31,-0.2
2000-09-30,-0.2
2000-10-31,0.2
2000-11-30,-0.5
2000-12-31,-0.1
2001-01-31,0.1
2001-02-28,-0.2
2001-03-31,0.2
2001-04-30,0.7
2001-05-31,0.1
2001-06-30,-0.7
2001-07-31,-0.3
2001-08-31,-0.4
2001-09-30,-0.1
2001-10-31,-0.4
2001-11-30,-0.3
2001-12-31,-0.1
2002-01-31,2.3
2002-02-28,3.1
2002-03-31,4.0
2002-04-30,10.4
2002-05-31,4.0
2002-06-30,3.6
2002-07-31,3.2
2002-08-31,2.3
2002-09-30,1.4
2002-10-31,0.2
2002-11-30,0.5
2002-12-31,0.2
2003-01-31,1.3
2003-02-28,0.6
2003-03-31,0.6
2003-04-30,0.1
2003-05-31,-0.4
2003-06-30,-0.1
2003-07-31,0.4
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.6
2003-11-30,0.2
2003-12-31,0.2
2004-01-31,0.4
2004-02-29,0.1
2004-03-31,0.6
2004-04-30,0.9
2004-05-31,0.7
2004-06-30,0.6
2004-07-31,0.5
2004-08-31,0.3
2004-09-30,0.6
2004-10-31,0.4
2004-11-30,0.0
2004-12-31,0.8
2005-01-31,1.5
2005-02-28,0.9
2005-03-31,1.5
2005-04-30,0.5
2005-05-31,0.6
2005-06-30,0.9
2005-07-31,1.0
2005-08-31,0.4
2005-09-30,1.2
2005-10-31,0.8
2005-11-30,1.2
2005-12-31,1.1
2006-01-31,1.3
2006-02-28,0.4
