fecha,valor
2006-03-31,1.2
2006-04-30,1.0
2006-05-31,0.5
2006-06-30,0.5
2006-07-31,0.6
2006-08-31,0.6
2006-09-30,0.9
2006-10-31,0.9
2006-11-30,0.7
2006-12-31,1.0
2007-01-31,1.1
2007-02-28,0.3
2007-03-31,0.8
2007-04-30,0.7
2007-05-31,0.4
2007-06-30,0.4
2007-07-31,0.5
2007-08-31,0.6
2007-09-30,0.8
2007-10-31,0.7
2007-11-30,0.9
2007-12-31,0.9
2008-01-31,0.9
2008-02-29,0.5
2008-03-31,1.1
2008-04-30,0.8
2008-05-31,0.6
2008-06-30,0.6
2008-07-31,0.4
2008-08-31,0.5
2008-09-30,0.5
2008-10-31,0.4
2008-11-30,0.3
2008-12-31,0.3
2009-01-31,0.5
2009-02-28,0.4
2009-03-31,0.6
2009-04-30,0.3
2009-05-31,0.3
2009-06-30,0.4
2009-07-31,0.6
2009-08-31,0.8
2009-09-30,0.7
2009-10-31,0.8
2009-11-30,0.8
2009-12-31,0.9
2010-01-31,1.0
2010-02-28,1.2
2010-03-31,1.1
2010-04-30,0.8
2010-05-31,0.7
2010-06-30,0.7
2010-07-31,0.8
2010-08-31,0.7
2010-09-30,0.7
2010-10-31,0.8
2010-11-30,0.7
2010-12-31,0.8
2011-01-31,0.7
2011-02-28,0.7
2011-03-31,0.8
2011-04-30,0.8
2011-05-31,0.7
2011-06-30,0.7
2011-07-31,0.8
2011-08-31,0.8
2011-09-30,0.8
2011-10-31,0.6
2011-11-30,0.6
2011-12-31,0.8
2012-01-31,0.9
2012-02-29,0.7
2012-03-31,0.9
2012-04-30,0.8
