fecha_inflacion,valor_mensual,valor_anual
2019-08-31,0.4,5.45
2018-12-31,0.26,4.76
2007-09-30,0.08,0.86
2015-02-28,0.09,1.79
2008-02-29,0.05,0.84
2002-12-31,0.02,4.09
2017-04-30,0.26,2.74
2017-10-31,0.15,2.27
2014-08-31,0.13,2.29
2011-10-31,0.06,0.97
2000-04-30,-0.01,-0.11
2023-12-31,2.55,21.14
2021-09-30,0.35,5.25
2018-10-31,0.54,4.59
2005-04-30,0.05,0.88
2009-12-31,0.09,0.77
2018-05-31,0.21,2.63
2009-04-30,0.03,0.57
2005-02-28,0.09,0.81
2003-04-30,0.01,1.94
2000-10-31,0.02,-0.05
2023-05-31,0.78,11.42
2017-08-31,0.14,2.28
2023-08-31,1.24,12.44
2013-09-30,0.08,1.05
2022-11-30,0.49,9.24
2011-08-31,0.08,0.98
2016-09-30,0.11,3.55
2023-04-30,0.84,10.88
2014-06-30,0.13,2.18
2012-11-30,0.09,1.06
2002-07-31,0.32,3.29
2012-09-30,0.09,1.0
2008-10-31,0.04,0.84
2006-03-31,0.12,1.11
2013-07-31,0.09,1.06
2004-02-29,0.01,0.23
2018-06-30,0.37,2.95
2008-09-30,0.05,0.87
2014-07-31,0.14,2.24
2022-02-28,0.47,5.23
2006-09-30,0.09,1.04
2000-11-30,-0.05,-0.07
2016-12-31,0.12,3.31
2001-05-31,0.01,0.02
2008-06-30,0.06,0.93
2005-05-31,0.06,0.86
2014-09-30,0.14,2.36
2009-09-30,0.07,0.62
2006-01-31,0.13,1.21
2002-01-31,0.23,0.06
2011-05-31,0.07,0.97
2009-10-31,0.08,0.65
2007-03-31,0.08,0.91
2019-06-30,0.27,5.58
2017-05-31,0.13,2.4
2012-03-31,0.09,0.98
2012-02-29,0.07,0.97
2004-06-30,0.06,0.49
2008-03-31,0.11,0.88
2000-09-30,-0.02,-0.07
2020-04-30,0.15,4.56
2013-05-31,0.07,1.03
2001-03-31,0.02,-0.1
2011-07-31,0.08,0.97
2023-03-31,0.77,10.43
2015-03-31,0.13,1.64
2015-11-30,0.2,1.52
2019-10-31,0.33,5.05
2003-01-31,0.13,3.96
2021-08-31,0.25,5.14
2017-06-30,0.12,2.18
2019-02-28,0.38,5.13
2004-09-30,0.06,0.59
2015-06-30,0.1,1.48
2002-02-28,0.31,0.4
2018-04-30,0.27,2.55
2003-08-31,0.0,0.49
2001-01-31,0.01,-0.15
2000-01-31,0.08,-0.14
2001-11-30,-0.03,-0.16
2010-03-31,0.11,0.97
2009-07-31,0.06,0.55
2009-02-28,0.04,0.68
2010-12-31,0.08,1.09
2021-04-30,0.41,4.63
2008-01-31,0.09,0.82
2024-04-30,0.88,28.94
2016-05-31,0.42,3.31
2011-03-31,0.08,0.97
2006-07-31,0.06,1.06
2003-07-31,0.04,0.73
2013-03-31,0.07,1.06
2004-03-31,0.06,0.23
2021-02-28,0.36,4.07
2020-01-31,0.23,5.29
2011-09-30,0.08,0.99
2016-03-31,0.3,2.62
2009-06-30,0.04,0.53
2001-06-30,-0.07,-0.03
2022-01-31,0.39,5.07
2008-04-30,0.08,0.89
2019-09-30,0.59,5.35
2015-12-31,0.39,1.85
2005-07-31,0.1,0.96
2001-10-31,-0.04,-0.17
2019-11-30,0.43,5.21
2015-01-31,0.11,2.07
2024-07-31,0.4,26.34
2013-01-31,0.11,1.11
2008-11-30,0.03,0.79
2003-10-31,0.06,0.39
2007-08-31,0.06,0.87
2020-07-31,0.19,4.24
2014-02-28,0.34,1.69
2012-06-30,0.07,0.99
2009-08-31,0.08,0.59
2000-02-29,0.0,-0.13
2019-03-31,0.47,5.47
2010-07-31,0.08,1.12
2002-10-31,0.02,3.94
2023-10-31,0.83,14.27
2022-03-31,0.67,5.51
2016-08-31,0.02,3.55
2006-11-30,0.07,1.0
2020-11-30,0.32,3.58
2018-02-28,0.24,2.54
2002-06-30,0.36,2.84
2013-06-30,0.08,1.05
2007-02-28,0.03,0.96
2002-03-31,0.4,0.79
2021-06-30,0.32,5.02
2010-08-31,0.07,1.11
2010-09-30,0.07,1.11
2007-12-31,0.09,0.85
2022-10-31,0.63,8.8
2012-10-31,0.08,1.02
2003-03-31,0.06,3.17
2021-05-31,0.33,4.88
2016-07-31,0.2,3.68
2003-12-31,0.02,0.37
2024-08-31,0.42,23.67
2019-12-31,0.37,5.38
2018-03-31,0.23,2.54
2015-10-31,0.11,1.43
2003-09-30,0.0,0.35
2006-05-31,0.05,1.15
2005-09-30,0.12,1.03
2003-06-30,-0.01,1.02
2018-09-30,0.65,4.05
2014-01-31,0.36,1.36
2023-11-30,1.28,16.09
2023-02-28,0.66,10.25
2020-09-30,0.28,3.66
2022-08-31,0.7,7.85
2009-01-31,0.05,0.68
2024-05-31,0.42,27.64
2005-01-31,0.15,0.72
2023-09-30,1.27,13.83
2020-02-29,0.2,5.03
2017-07-31,0.17,2.14
2012-04-30,0.08,0.98
2001-07-31,-0.03,-0.11
2009-05-31,0.03,0.55
2001-12-31,-0.01,-0.15
2019-04-30,0.34,5.58
2010-06-30,0.07,1.1
2021-12-31,0.38,5.09
2019-01-31,0.29,4.93
2014-05-31,0.14,2.12
2018-08-31,0.39,3.44
2014-04-30,0.18,2.04
2006-12-31,0.1,0.98
2003-05-31,-0.04,1.43
