fecha_inflacion,valor_mensual,valor_anual
2019-08-31,0.8,10.9
2018-12-31,0.52,9.52
2007-09-30,0.16,1.72
2015-02-28,0.18,3.58
2008-02-29,0.1,1.68
2002-12-31,0.04,8.18
2017-04-30,0.52,5.48
2017-10-31,0.3,4.54
2014-08-31,0.26,4.58
2011-10-31,0.12,1.94
2000-04-30,-0.02,-0.22
2023-12-31,5.1,42.28
2021-09-30,0.7,10.5
2018-10-31,1.08,9.18
2005-04-30,0.1,1.76
2009-12-31,0.18,1.54
2018-05-31,0.42,5.26
2009-04-30,0.06,1.14
2005-02-28,0.18,1.62
2003-04-30,0.02,3.88
2000-10-31,0.04,-0.1
2023-05-31,1.56,22.84
2017-08-31,0.28,4.56
2023-08-31,2.48,24.88
2013-09-30,0.16,2.1
2022-11-30,0.98,18.48
2011-08-31,0.16,1.96
2016-09-30,0.22,7.1
2023-04-30,1.68,21.76
2014-06-30,0.26,4.36
2012-11-30,0.18,2.12
2002-07-31,0.64,6.58
2012-09-30,0.18,2.0
2008-10-31,0.08,1.68
2006-03-31,0.24,2.22
2013-07-31,0.18,2.12
2004-02-29,0.02,0.46
2018-06-30,0.74,5.9
2008-09-30,0.1,1.74
2014-07-31,0.28,4.48
2022-02-28,0.94,10.46
2006-09-30,0.18,2.08
2000-11-30,-0.1,-0.14
2016-12-31,0.24,6.62
2001-05-31,0.02,0.04
2008-06-30,0.12,1.86
2005-05-31,0.12,1.72
2014-09-30,0.28,4.72
2009-09-30,0.14,1.24
2006-01-31,0.26,2.42
2002-01-31,0.46,0.12
2011-05-31,0.14,1.94
2009-10-31,0.16,1.3
2007-03-31,0.16,1.82
2019-06-30,0.54,11.16
2017-05-31,0.26,4.8
2012-03-31,0.18,1.96
2012-02-29,0.14,1.94
2004-06-30,0.12,0.98
2008-03-31,0.22,1.76
2000-09-30,-0.04,-0.14
2020-04-30,0.3,9.12
2013-05-31,0.14,2.06
2001-03-31,0.04,-0.2
2011-07-31,0.16,1.94
2023-03-31,1.54,20.86
2015-03-31,0.26,3.28
2015-11-30,0.4,3.04
2019-10-31,0.66,10.1
2003-01-31,0.26,7.92
2021-08-31,0.5,10.28
2017-06-30,0.24,4.36
2019-02-28,0.76,10.26
2004-09-30,0.12,1.18
2015-06-30,0.2,2.96
2002-02-28,0.62,0.8
2018-04-30,0.54,5.1
2003-08-31,0.0,0.98
2001-01-31,0.02,-0.3
2000-01-31,0.16,-0.28
2001-11-30,-0.06,-0.32
2010-03-31,0.22,1.94
2009-07-31,0.12,1.1
2009-02-28,0.08,1.36
2010-12-31,0.16,2.18
2021-04-30,0.82,9.26
2008-01-31,0.18,1.64
2024-04-30,1.76,57.88
2016-05-31,0.84,6.62
2011-03-31,0.16,1.94
2006-07-31,0.12,2.12
2003-07-31,0.08,1.46
2013-03-31,0.14,2.12
2004-03-31,0.12,0.46
2021-02-28,0.72,8.14
2020-01-31,0.46,10.58
2011-09-30,0.16,1.98
2016-03-31,0.6,5.24
2009-06-30,0.08,1.06
2001-06-30,-0.14,-0.06
2022-01-31,0.78,10.14
2008-04-30,0.16,1.78
2019-09-30,1.18,10.7
2015-12-31,0.78,3.7
2005-07-31,0.2,1.92
2001-10-31,-0.08,-0.34
2019-11-30,0.86,10.42
2015-01-31,0.22,4.14
2024-07-31,0.8,52.68
2013-01-31,0.22,2.22
2008-11-30,0.06,1.58
2003-10-31,0.12,0.78
2007-08-31,0.12,1.74
2020-07-31,0.38,8.48
2014-02-28,0.68,3.38
2012-06-30,0.14,1.98
2009-08-31,0.16,1.18
2000-02-29,0.0,-0.26
2019-03-31,0.94,10.94
2010-07-31,0.16,2.24
2002-10-31,0.04,7.88
2023-10-31,1.66,28.54
2022-03-31,1.34,11.02
2016-08-31,0.04,7.1
2006-11-30,0.14,2.0
2020-11-30,0.64,7.16
2018-02-28,0.48,5.08
2002-06-30,0.72,5.68
2013-06-30,0.16,2.1
2007-02-28,0.06,1.92
2002-03-31,0.8,1.58
2021-06-30,0.64,10.04
2010-08-31,0.14,2.22
2010-09-30,0.14,2.22
2007-12-31,0.18,1.7
2022-10-31,1.26,17.6
2012-10-31,0.16,2.04
2003-03-31,0.12,6.34
2021-05-31,0.66,9.76
2016-07-31,0.4,7.36
2003-12-31,0.04,0.74
2024-08-31,0.84,47.34
2019-12-31,0.74,10.76
2018-03-31,0.46,5.08
2015-10-31,0.22,2.86
2003-09-30,0.0,0.7
2006-05-31,0.1,2.3
2005-09-30,0.24,2.06
2003-06-30,-0.02,2.04
2018-09-30,1.3,8.1
2014-01-31,0.72,2.72
2023-11-30,2.56,32.18
2023-02-28,1.32,20.5
2020-09-30,0.56,7.32
2022-08-31,1.4,15.7
2009-01-31,0.1,1.36
2024-05-31,0.84,55.28
2005-01-31,0.3,1.44
2023-09-30,2.54,27.66
2020-02-29,0.4,10.06
2017-07-31,0.34,4.28
2012-04-30,0.16,1.96
2001-07-31,-0.06,-0.22
2009-05-31,0.06,1.1
2001-12-31,-0.02,-0.3
2019-04-30,0.68,11.16
2010-06-30,0.14,2.2
2021-12-31,0.76,10.18
2019-01-31,0.58,9.86
2014-05-31,0.28,4.24
2018-08-31,0.78,6.88
2014-04-30,0.36,4.08
2006-12-31,0.2,1.96
2003-05-31,-0.08,2.86
2007-06-30,0.08,1.76
2007-05-31,0.08,1.76
2021-07-31,0.6,10.36
2020-05-31,0.3,8.68
2017-12-31,0.62,4.96
2016-01-31,0.82,4.4
2007-11-30,0.18,1.7
2005-06-30,0.18,1.8
2019-05-31,0.62,11.46
2010-11-30,0.14,2.2
2008-07-31,0.08,1.82
2022-06-30,1.06,12.8
2020-12-31,0.8,7.22
2022-12-31,1.02,18.96
2022-07-31,1.48,14.2
2008-05-31,0.12,1.82
2005-10-31,0.16,2.14
2001-08-31,-0.08,-0.24
2000-08-31,-0.04,-0.14
2022-05-31,1.02,12.14
2002-08-31,0.46,7.3
2024-09-30,0.7,41.8
2023-06-30,1.2,23.12
2018-11-30,0.64,9.7
2017-09-30,0.38,4.76
2006-02-28,0.08,2.3
2011-04-30,0.16,1.94
2004-12-31,0.16,1.22
2003-02-28,0.12,7.22
2018-01-31,0.36,5.0
2016-06-30,0.62,7.16
2023-01-31,1.2,19.76
2021-11-30,0.5,10.24
2010-01-31,0.2,1.64
2001-09-30,-0.02,-0.22
2021-01-31,0.8,7.7
2015-04-30,0.22,3.12
2002-09-30,0.28,7.7
2011-06-30,0.14,1.94
2011-02-28,0.14,2.0
2023-07-31,1.26,22.68
2021-10-31,0.7,10.42
2018-07-31,0.62,6.24
2015-05-31,0.2,3.04
2010-05-31,0.14,2.14
2004-10-31,0.08,1.14
2009-03-31,0.12,1.26
2004-07-31,0.1,0.98
2020-06-30,0.44,8.56
2006-08-31,0.12,2.14
2004-01-31,0.08,0.54
2016-02-29,0.54,4.84
2006-04-30,0.2,2.32
2000-05-31,-0.08,-0.2
2015-09-30,0.24,2.88
2012-01-31,0.18,1.94
2013-12-31,0.28,2.18
2014-12-31,0.2,4.74
2013-08-31,0.16,2.1
2001-04-30,0.14,-0.04
2002-05-31,0.8,4.6
2020-10-31,0.76,7.44
2013-04-30,0.14,2.1
2024-02-29,2.64,55.24
2024-01-31,4.12,50.84
2004-08-31,0.06,1.06
2009-11-30,0.16,1.42
2005-03-31,0.3,1.84
2019-07-31,0.44,10.88
2010-10-31,0.16,2.22
2007-04-30,0.14,1.78
2013-02-28,0.1,2.16
2000-12-31,-0.02,-0.14
2012-08-31,0.18,2.0
2017-11-30,0.28,4.48
2017-01-31,0.26,5.98
2010-04-30,0.16,2.04
2008-08-31,0.1,1.8
2004-05-31,0.14,0.84
2013-11-30,0.18,2.1
2012-05-31,0.16,1.98
2010-02-28,0.24,1.82
2000-07-31,0.08,-0.18
2020-03-31,0.66,9.68
2017-02-28,0.5,5.82
2013-10-31,0.18,2.1
2012-12-31,0.2,2.16
2007-10-31,0.14,1.68
2006-10-31,0.18,2.1
2000-03-31,-0.1,-0.22
2002-04-30,2.08,3.68
2024-06-30,0.92,54.3
2006-06-30,0.1,2.2
2022-04-30,1.2,11.6
2005-08-31,0.08,1.94
2003-11-30,0.04,0.72
2016-11-30,0.32,7.34
2021-03-31,0.96,8.52
2012-07-31,0.16,1.98
2002-11-30,0.1,8.12
2016-04-30,0.68,5.8
2011-12-31,0.16,1.9
2011-01-31,0.14,2.12
2014-03-31,0.52,3.82
2008-12-31,0.06,1.44
2004-11-30,0.0,1.08
2014-11-30,0.22,4.84
2007-01-31,0.22,1.94
2011-11-30,0.12,1.9
2015-07-31,0.26,2.96
2005-11-30,0.24,2.4
2004-04-30,0.18,0.62
2017-03-31,0.48,5.66
2022-09-30,1.24,16.6
2000-06-30,-0.04,-0.22
2014-10-31,0.24,4.8
2020-08-31,0.54,8.14
2016-10-31,0.48,7.42
2007-07-31,0.1,1.72
2001-02-28,-0.04,-0.34
2024-03-31,2.2,57.58
2015-08-31,0.24,2.92
2005-12-31,0.22,2.46
