Periodo,avg_ipc_mensual,variacion_mensual,avg_ipc_interanual
202409,3.61,3.57,219.27
202408,4.56,4.49,244.31
202407,4.76,4.67,265.1
202406,5.36,5.14,273.12
202405,4.73,4.55,277.93
202404,10.16,9.38,289.41
202403,13.26,11.71,279.9
202402,13.86,13.38,264.09
202401,21.35,21.62,239.33
202312,22.7,23.52,196.18
202311,11.85,12.05,153.21
202310,8.11,8.09,137.86
202309,12.01,12.28,134.62
202308,11.11,11.42,122.15
202307,7.0,6.89,113.6
202306,6.6,6.42,114.8
202305,7.8,7.76,111.96
202304,7.25,7.51,106.45
202303,8.14,7.75,103.02
202302,5.92,5.93,101.57
202301,6.17,6.13,98.64
202212,5.07,5.09,94.38
202211,5.14,5.06,91.36
202210,6.67,6.64,86.27
202209,6.1,6.27,80.42
202208,6.83,6.91,75.85
202207,7.54,7.61,68.56
202206,5.08,5.15,61.21
202205,5.0,5.04,58.19
202204,5.5,5.6,55.22
202203,7.3,7.04,52.49
202202,4.29,4.4,49.59
202201,3.84,3.88,48.15
202112,3.39,3.42,48.86
202111,2.28,2.32,48.7
202110,3.22,3.26,49.55
202109,3.5,3.49,49.62
202108,2.45,2.46,48.5
202107,2.86,2.88,48.3
202106,3.21,3.21,47.08
202105,3.0,3.05,45.99
202104,3.67,3.69,44.1
202103,5.23,4.92,40.6
202102,3.3,3.36,39.0
202101,4.41,4.44,37.05
202012,3.27,3.32,34.15
202011,2.85,2.87,34.71
202010,3.25,3.29,36.6
202009,2.7,2.69,36.67
202008,2.31,2.33,40.88
202007,2.01,1.98,43.08
202006,2.33,2.24,43.38
202005,1.62,1.54,44.07
202004,1.09,0.97,45.95
202003,4.02,3.94,49.25
202002,1.87,1.81,50.63
202001,2.05,1.95,52.53
201912,3.83,3.91,54.2
201911,4.32,4.29,52.54
201910,3.4,3.31,51.18
201909,5.86,5.73,53.31
201908,3.89,3.81,53.34
201907,2.27,2.26,53.23
201906,2.9,2.93,54.36
201905,3.03,3.1,54.51
201904,3.37,3.35,52.91
201903,5.02,4.91,51.86
201902,3.2,3.28,48.99
201901,3.14,3.22,47.96
201812,2.71,2.75,46.24
201811,3.36,3.33,46.54
201810,4.89,4.95,43.75
201809,5.87,5.74,39.35
201808,3.8,3.9,33.9
201807,3.02,2.96,30.7
201806,2.96,2.89,29.0
201805,1.98,1.92,26.74
201804,2.68,2.79,26.2
201803,2.99,3.01,26.43
201802,2.48,2.54,26.63
201801,1.95,1.99,26.2
201712,2.87,2.95,26.14
201711,1.35,1.34,
201710,1.76,1.77,
201709,1.72,1.71,
201708,1.38,1.39,
201707,1.65,1.65,
201706,1.13,1.12,
201705,1.51,1.5,
201704,2.89,2.91,
201703,3.08,3.09,
201702,2.12,2.12,
201701,1.91,1.91,
