Periodo,avg_ipc_mensual,variacion_mensual,avg_ipc_interanual
202409,3.6,3.35,221.76
202408,4.37,4.25,247.15
202407,4.55,4.16,268.21
202406,4.79,4.66,277.74
202405,4.39,4.07,284.57
202404,9.13,8.21,297.55
202403,12.24,10.98,291.94
202402,14.54,13.9,275.94
202401,23.52,23.44,250.16
202312,24.12,25.2,200.75
202311,12.41,12.65,154.49
202310,8.16,8.05,138.08
202309,12.18,12.54,134.63
202308,10.98,11.49,122.24
202307,7.08,7.02,115.04
202306,6.66,6.61,115.06
202305,7.75,7.78,112.23
202304,7.18,7.42,106.92
202303,7.15,7.06,103.56
202302,6.2,6.19,102.43
202301,6.43,6.35,99.98
202212,5.22,5.18,95.33
202211,5.27,5.15,91.35
202210,6.6,6.55,85.74
202209,6.33,6.46,80.23
202208,7.33,7.42,75.4
202207,7.04,7.17,67.84
202206,5.16,5.24,61.45
202205,5.13,5.17,58.36
202204,5.49,5.57,55.39
202203,6.56,6.44,53.16
202202,4.75,4.88,49.95
202201,3.91,3.9,48.5
202112,3.16,3.19,48.95
202111,2.12,2.19,49.41
202110,3.37,3.39,50.71
202109,3.56,3.51,50.77
202108,2.75,2.71,49.48
202107,2.98,3.01,48.99
202106,3.23,3.22,47.45
202105,3.12,3.16,45.49
202104,3.95,3.95,42.94
202103,4.26,4.07,39.42
202102,3.71,3.81,38.26
202101,4.26,4.3,36.12
202012,3.45,3.36,33.94
202011,3.01,2.99,34.7
202010,3.41,3.54,36.83
202009,2.65,2.69,36.75
202008,2.4,4.67,40.91
202007,1.85,1.82,43.36
202006,1.77,1.7,43.85
202005,1.31,5.23,45.29
202004,1.3,-4.68,47.85
202003,3.39,3.31,50.7
202002,2.17,2.08,51.96
202001,2.5,2.39,53.44
201912,4.09,4.11,54.34
201911,4.57,4.47,52.4
201910,3.53,3.42,51.09
201909,5.77,5.65,53.52
201908,4.08,3.99,54.22
201907,2.27,2.29,54.05
201906,2.86,2.91,55.67
201905,3.21,3.34,56.41
201904,3.33,3.35,54.87
201903,4.28,4.2,53.52
201902,3.24,3.36,50.87
201901,3.04,3.08,49.86
201812,2.77,2.71,48.2
201811,3.59,3.58,48.4
201810,5.23,5.46,45.61
201809,6.25,6.11,40.61
201808,3.93,4.1,34.47
201807,3.35,3.31,31.47
201806,3.31,3.23,29.37
201805,2.22,2.09,26.64
201804,2.44,2.65,25.96
201803,2.51,2.47,25.99
201802,2.54,2.58,26.16
201801,1.89,1.96,25.91
201712,2.74,2.93,26.02
201711,1.6,1.57,
201710,1.82,1.82,
201709,1.64,1.64,
201708,1.7,1.71,
201707,1.69,1.67,
201706,1.09,1.09,
201705,1.6,1.59,
201704,2.47,2.53,
201703,2.51,2.53,
201702,2.28,2.28,
201701,2.01,2.01,
