fecha,valor
2006-12-29,216
2007-01-02,219
2007-01-03,205
2007-01-04,217
2007-01-05,224
2007-01-08,221
2007-01-09,229
2007-01-10,225
2007-01-11,214
2007-01-12,207
2007-01-15,207
2007-01-16,203
2007-01-17,193
2007-01-18,195
2007-01-19,192
2007-01-22,195
2007-01-23,190
2007-01-24,190
2007-01-25,186
2007-01-26,185
2007-01-29,185
2007-01-30,185
2007-01-31,193
2007-02-01,185
2007-02-02,188
2007-02-05,190
2007-02-06,192
2007-02-07,204
2007-02-08,214
2007-02-09,218
2007-02-12,216
2007-02-13,206
2007-02-14,205
2007-02-15,207
2007-02-16,210
2007-02-19,210
2007-02-20,208
2007-02-21,207
2007-02-22,202
2007-02-23,209
2007-02-26,214
2007-02-27,239
2007-02-28,228
2007-03-01,228
2007-03-02,237
2007-03-05,240
2007-03-06,234
2007-03-07,236
2007-03-08,230
2007-03-09,217
2007-03-12,218
2007-03-13,227
2007-03-14,220
2007-03-15,220
2007-03-16,221
2007-03-19,218
2007-03-20,220
2007-03-21,217
2007-03-22,208
2007-03-23,209
2007-03-26,211
2007-03-27,209
2007-03-28,208
2007-03-29,209
2007-03-30,204
2007-04-02,205
2007-04-03,203
2007-04-04,202
2007-04-05,202
2007-04-09,198
2007-04-10,201
2007-04-11,203
2007-04-12,216
2007-04-13,234
2007-04-16,238
2007-04-17,250
2007-04-18,255
2007-04-19,261
2007-04-20,256
2007-04-23,258
2007-04-24,260
2007-04-25,260
2007-04-26,263
2007-04-27,263
2007-04-30,272
2007-05-01,273
2007-05-02,273
2007-05-03,277
2007-05-04,287
2007-05-07,291
2007-05-08,288
2007-05-09,286
2007-05-10,288
2007-05-11,288
2007-05-14,290
2007-05-15,283
2007-05-16,274
2007-05-17,270
2007-05-18,269
2007-05-21,265
2007-05-22,263
2007-05-23,264
2007-05-24,276
2007-05-25,271
2007-05-28,271
2007-05-29,276
2007-05-30,281
2007-05-31,277
2007-06-01,271
2007-06-04,275
2007-06-05,274
2007-06-06,286
2007-06-07,290
2007-06-08,292
2007-06-11,292
2007-06-12,306
2007-06-13,310
2007-06-14,289
2007-06-15,275
2007-06-18,267
2007-06-19,267
2007-06-20,275
2007-06-21,280
2007-06-22,285
2007-06-25,303
2007-06-26,312
2007-06-27,323
2007-06-28,303
2007-06-29,325
2007-07-02,320
2007-07-03,318
2007-07-04,318
2007-07-05,317
2007-07-06,307
2007-07-09,308
2007-07-10,324
2007-07-11,319
2007-07-12,303
2007-07-13,313
2007-07-16,318
2007-07-17,322
2007-07-18,342
2007-07-19,331
2007-07-20,345
2007-07-23,355
2007-07-24,381
2007-07-25,401
2007-07-26,468
2007-07-27,471
2007-07-30,449
2007-07-31,449
2007-08-01,461
2007-08-02,461
2007-08-03,463
2007-08-06,473
2007-08-07,459
2007-08-08,403
2007-08-09,433
2007-08-10,427
2007-08-13,430
2007-08-14,460
2007-08-15,469
2007-08-16,517
2007-08-17,477
2007-08-20,492
2007-08-21,489
2007-08-22,465
2007-08-23,471
2007-08-24,462
2007-08-27,448
2007-08-28,465
2007-08-29,459
2007-08-30,467
2007-08-31,450
2007-09-03,450
2007-09-04,449
2007-09-05,465
2007-09-06,454
2007-09-07,463
2007-09-10,477
2007-09-11,471
2007-09-12,460
2007-09-13,440
2007-09-14,439
