fecha,valor
2015-03-04,586
2015-03-05,581
2015-03-06,566
2015-03-09,561
2015-03-10,568
2015-03-11,581
2015-03-12,580
2015-03-13,584
2015-03-16,581
2015-03-17,586
2015-03-18,598
2015-03-19,598
2015-03-20,604
2015-03-23,602
2015-03-24,608
2015-03-25,608
2015-03-26,595
2015-03-27,612
2015-03-30,620
2015-03-31,629
2015-04-01,628
2015-04-02,618
2015-04-03,625
2015-04-06,610
2015-04-07,609
2015-04-08,588
2015-04-09,574
2015-04-10,568
2015-04-13,574
2015-04-14,583
2015-04-15,590
2015-04-16,602
2015-04-17,619
2015-04-20,617
2015-04-21,620
2015-04-22,617
2015-04-23,619
2015-04-24,616
2015-04-27,608
2015-04-28,603
2015-04-29,605
2015-04-30,603
2015-05-01,596
2015-05-04,593
2015-05-05,581
2015-05-06,581
2015-05-07,601
2015-05-08,610
2015-05-11,606
2015-05-12,616
2015-05-13,606
2015-05-14,615
2015-05-15,625
2015-05-18,599
2015-05-19,590
2015-05-20,579
2015-05-21,578
2015-05-22,576
2015-05-26,588
2015-05-27,589
2015-05-28,594
2015-05-29,601
2015-06-01,596
2015-06-02,576
2015-06-03,557
2015-06-04,566
2015-06-05,555
2015-06-08,559
2015-06-09,566
2015-06-10,567
2015-06-11,572
2015-06-12,573
2015-06-15,580
2015-06-16,588
2015-06-17,621
2015-06-18,629
2015-06-19,652
2015-06-22,627
2015-06-23,614
2015-06-24,621
2015-06-25,595
2015-06-26,589
2015-06-29,617
2015-06-30,631
2015-07-01,624
2015-07-02,619
2015-07-06,625
2015-07-07,625
2015-07-08,635
2015-07-09,618
2015-07-10,595
2015-07-13,597
2015-07-14,591
2015-07-15,577
2015-07-16,581
2015-07-17,585
2015-07-20,582
2015-07-21,585
2015-07-22,589
2015-07-23,591
2015-07-24,597
2015-07-27,612
2015-07-28,610
2015-07-29,606
2015-07-30,609
2015-07-31,615
2015-08-03,627
2015-08-04,608
2015-08-05,583
2015-08-06,586
2015-08-07,592
2015-08-10,572
2015-08-11,590
2015-08-12,581
2015-08-13,580
2015-08-14,574
2015-08-17,571
2015-08-18,565
2015-08-19,572
2015-08-20,580
2015-08-21,593
2015-08-24,621
2015-08-25,608
2015-08-26,612
2015-08-27,599
2015-08-28,591
2015-08-31,584
2015-09-01,590
2015-09-02,579
2015-09-03,567
2015-09-04,561
2015-09-08,542
2015-09-09,538
2015-09-10,527
2015-09-11,531
2015-09-14,540
2015-09-15,529
2015-09-16,537
2015-09-17,542
2015-09-18,553
2015-09-21,546
2015-09-22,568
2015-09-23,580
2015-09-24,595
2015-09-25,575
2015-09-28,598
2015-09-29,601
2015-09-30,591
2015-10-01,589
2015-10-02,596
2015-10-05,584
2015-10-06,584
2015-10-07,579
2015-10-08,577
2015-10-09,572
2015-10-13,584
2015-10-14,588
2015-10-15,576
2015-10-16,558
2015-10-19,554
2015-10-20,555
2015-10-21,557
2015-10-22,553
2015-10-23,542
2015-10-26,519
2015-10-27,520
2015-10-28,495
2015-10-29,485
2015-10-30,489
2015-11-02,490
2015-11-03,484
2015-11-04,498
2015-11-05,504
2015-11-06,499
2015-11-09,495
2015-11-10,482
2015-11-12,486
2015-11-13,496
2015-11-16,485
2015-11-17,481
2015-11-18,471
2015-11-19,475
2015-11-20,470
2015-11-23,466
2015-11-24,485
2015-11-25,490
2015-11-27,491
2015-11-30,487
2015-12-01,496
2015-12-02,499
2015-12-03,494
2015-12-04,500
2015-12-07,500
2015-12-08,498
2015-12-09,495
2015-12-10,480
2015-12-11,490
2015-12-14,500
2015-12-15,487
2015-12-16,482
2015-12-17,475
2015-12-18,485
2015-12-21,478
2015-12-22,475
2015-12-23,465
2015-12-24,468
2015-12-28,444
2015-12-29,435
2015-12-30,435
2015-12-31,438
2016-01-04,447
2016-01-05,437
2016-01-06,448
2016-01-07,453
2016-01-08,455
2016-01-11,455
2016-01-12,463
2016-01-13,481
2016-01-14,483
2016-01-15,498
2016-01-19,501
2016-01-20,524
2016-01-21,525
2016-01-22,515
2016-01-25,515
2016-01-26,513
2016-01-27,510
2016-01-28,507
2016-01-29,502
2016-02-01,488
2016-02-02,487
2016-02-03,474
2016-02-04,472
2016-02-05,471
2016-02-08,474
2016-02-09,482
2016-02-10,487
2016-02-11,502
2016-02-12,477
2016-02-16,468
2016-02-17,458
2016-02-18,461
2016-02-19,463
2016-02-22,453
2016-02-23,456
2016-02-24,459
2016-02-25,461
2016-02-26,461
2016-02-29,465
2016-03-01,454
2016-03-02,455
2016-03-03,484
2016-03-04,459
2016-03-07,457
2016-03-08,464
2016-03-09,457
2016-03-10,455
2016-03-11,437
2016-03-14,437
2016-03-15,447
2016-03-16,448
2016-03-17,440
2016-03-18,444
2016-03-21,437
2016-03-22,437
2016-03-23,448
2016-03-24,459
2016-03-28,450
2016-03-29,451
2016-03-30,438
2016-03-31,444
2016-04-01,443
2016-04-04,442
2016-04-05,449
2016-04-06,442
2016-04-07,453
2016-04-08,450
2016-04-11,443
2016-04-12,432
2016-04-13,419
2016-04-14,413
2016-04-15,416
2016-04-18,403
2016-04-19,388
2016-04-20,380
2016-04-21,379
2016-04-22,382
2016-04-25,391
2016-04-26,383
2016-04-27,526
2016-04-28,541
2016-04-29,544
2016-05-02,538
2016-05-03,550
2016-05-04,558
2016-05-05,569
2016-05-06,559
2016-05-09,565
2016-05-10,566
2016-05-11,567
2016-05-12,564
2016-05-13,557
2016-05-16,544
2016-05-17,542
2016-05-18,535
2016-05-19,548
2016-05-20,545
2016-05-23,543
2016-05-24,538
2016-05-25,529
2016-05-26,526
2016-05-27,520
2016-05-31,500
2016-06-01,488
2016-06-02,501
2016-06-03,502
2016-06-06,491
2016-06-07,489
2016-06-08,500
2016-06-09,504
2016-06-10,513
2016-06-13,520
2016-06-14,521
2016-06-15,510
2016-06-16,511
2016-06-17,510
2016-06-20,494
2016-06-21,490
2016-06-22,482
2016-06-23,471
2016-06-24,498
2016-06-27,515
2016-06-28,506
2016-06-29,492
2016-06-30,495
2016-07-01,488
2016-07-05,504
2016-07-06,506
2016-07-07,512
2016-07-08,504
2016-07-11,494
2016-07-12,483
2016-07-13,483
2016-07-14,478
2016-07-15,475
2016-07-18,475
2016-07-19,477
2016-07-20,475
2016-07-21,479
2016-07-22,476
2016-07-25,480
2016-07-26,488
2016-07-27,499
2016-07-28,497
2016-07-29,496
2016-08-01,497
2016-08-02,500
2016-08-03,492
2016-08-04,488
2016-08-05,480
2016-08-08,476
2016-08-09,471
2016-08-10,464
2016-08-11,455
2016-08-12,448
2016-08-15,442
2016-08-16,433
2016-08-17,439
2016-08-18,444
2016-08-19,447
2016-08-22,459
2016-08-23,451
2016-08-24,461
2016-08-25,461
2016-08-26,449
2016-08-29,450
2016-08-30,449
2016-08-31,455
2016-09-01,459
2016-09-02,449
2016-09-06,446
2016-09-07,439
2016-09-08,436
2016-09-09,451
2016-09-12,447
2016-09-13,461
2016-09-14,471
2016-09-15,462
2016-09-16,463
2016-09-19,456
2016-09-20,448
2016-09-21,430
2016-09-22,430
2016-09-23,439
2016-09-26,447
2016-09-27,448
2016-09-28,439
2016-09-29,447
2016-09-30,441
2016-10-03,438
2016-10-04,437
2016-10-05,438
2016-10-06,450
2016-10-07,453
2016-10-11,455
2016-10-12,451
2016-10-13,450
2016-10-14,456
2016-10-17,466
2016-10-18,463
2016-10-19,453
2016-10-20,448
2016-10-21,441
2016-10-24,442
2016-10-25,447
2016-10-26,448
2016-10-27,453
2016-10-28,451
2016-10-31,452
2016-11-01,462
2016-11-02,469
2016-11-03,460
2016-11-04,461
2016-11-07,445
2016-11-08,438
2016-11-09,440
2016-11-10,476
2016-11-14,505
2016-11-15,491
2016-11-16,488
2016-11-17,490
2016-11-18,489
2016-11-21,490
2016-11-22,487
2016-11-23,490
2016-11-25,491
2016-11-28,490
2016-11-29,498
2016-11-30,515
2016-12-01,529
2016-12-02,528
2016-12-05,524
2016-12-06,499
2016-12-07,486
2016-12-08,489
2016-12-09,490
2016-12-12,513
2016-12-13,512
2016-12-14,512
2016-12-15,515
2016-12-16,512
2016-12-19,506
2016-12-20,497
2016-12-21,489
2016-12-22,487
2016-12-23,477
2016-12-27,455
2016-12-28,448
2016-12-29,453
2016-12-30,455
2017-01-03,474
2017-01-04,477
2017-01-05,475
2017-01-06,468
2017-01-09,470
2017-01-10,482
2017-01-11,483
2017-01-12,473
2017-01-13,453
2017-01-17,455
2017-01-18,459
2017-01-19,461
2017-01-20,462
2017-01-23,469
2017-01-24,464
2017-01-25,463
2017-01-26,463
2017-01-27,457
2017-01-30,469
2017-01-31,469
2017-02-01,461
2017-02-02,448
2017-02-03,440
2017-02-06,443
2017-02-07,458
2017-02-08,460
2017-02-09,456
2017-02-10,446
2017-02-13,441
2017-02-14,442
2017-02-15,448
2017-02-16,459
2017-02-17,460
2017-02-21,456
2017-02-22,456
2017-02-23,458
2017-02-24,466
2017-02-27,469
2017-02-28,458
2017-03-01,446
2017-03-02,444
2017-03-03,438
2017-03-06,439
2017-03-07,434
2017-03-08,445
2017-03-09,448
2017-03-10,444
2017-03-13,449
2017-03-14,455
2017-03-15,444
2017-03-16,441
2017-03-17,436
2017-03-20,436
2017-03-21,445
2017-03-22,450
2017-03-23,448
2017-03-24,446
2017-03-27,452
2017-03-28,448
2017-03-29,443
2017-03-30,440
2017-03-31,442
2017-04-03,445
2017-04-04,437
2017-04-05,429
2017-04-06,430
2017-04-07,427
2017-04-10,426
2017-04-11,429
2017-04-12,434
2017-04-13,433
2017-04-17,429
2017-04-18,431
2017-04-19,423
2017-04-20,417
2017-04-21,415
2017-04-24,404
2017-04-25,398
2017-04-26,408
2017-04-27,408
2017-04-28,405
2017-05-01,401
2017-05-02,395
2017-05-03,395
2017-05-04,396
2017-05-05,398
2017-05-08,398
2017-05-09,402
2017-05-10,395
2017-05-11,396
2017-05-12,397
2017-05-15,391
2017-05-16,395
2017-05-17,410
2017-05-18,422
2017-05-19,413
2017-05-22,417
