fecha,valor
2021-11-30,1898
2021-12-01,1825
2021-12-02,1818
2021-12-03,1771
2021-12-04,1771
2021-12-05,1771
2021-12-06,1738
2021-12-07,1699
2021-12-08,1698
2021-12-09,1697
2021-12-10,1715
2021-12-11,1726
2021-12-12,1726
2021-12-13,1697
2021-12-14,1694
2021-12-15,1689
2021-12-16,1683
2021-12-17,1721
2021-12-18,1721
2021-12-19,1721
2021-12-20,1749
2021-12-21,1743
2021-12-22,1754
2021-12-23,1752
2021-12-24,1753
2021-12-25,1753
2021-12-26,1753
2021-12-27,1742
2021-12-28,1718
2021-12-29,1695
2021-12-30,1697
2021-12-31,1697
2022-01-01,1697
2022-01-02,1697
2022-01-03,1709
2022-01-04,1730
2022-01-05,1755
2022-01-06,1786
2022-01-07,1801
2022-01-08,1801
2022-01-09,1801
2022-01-10,1819
2022-01-11,1820
2022-01-12,1833
2022-01-13,1863
2022-01-14,1884
2022-01-15,1884
2022-01-16,1884
2022-01-17,1885
2022-01-18,1894
2022-01-19,1873
2022-01-20,1890
2022-01-21,1917
2022-01-22,1917
2022-01-23,1917
2022-01-24,1962
2022-01-25,1944
2022-01-26,1887
2022-01-27,1906
2022-01-28,1841
2022-01-29,1841
2022-01-30,1841
2022-01-31,1724
2022-02-01,1747
2022-02-02,1739
2022-02-03,1755
2022-02-04,1773
2022-02-05,1773
2022-02-06,1773
2022-02-07,1784
2022-02-08,1771
2022-02-09,1769
2022-02-10,1778
2022-02-11,1786
2022-02-12,1786
2022-02-13,1786
2022-02-14,1803
2022-02-15,1768
2022-02-16,1742
2022-02-17,1758
2022-02-18,1730
2022-02-19,1730
2022-02-20,1730
2022-02-21,1709
2022-02-22,1734
2022-02-23,1735
2022-02-24,1760
2022-02-25,1777
2022-02-26,1777
2022-02-27,1777
2022-02-28,1832
2022-03-01,1832
2022-03-02,1865
2022-03-03,1851
2022-03-04,1928
2022-03-05,1928
2022-03-06,1928
2022-03-07,1975
2022-03-10,1834
2022-03-11,1796
2022-03-12,1796
2022-03-13,1796
2022-03-14,1807
2022-03-15,1828
2022-03-16,1787
2022-03-17,1766
2022-03-18,1786
2022-03-19,1786
2022-03-20,1786
2022-03-21,1791
2022-03-22,1794
2022-03-23,1810
2022-03-24,1832
2022-03-25,1798
2022-03-26,1798
2022-03-27,1798
2022-03-28,1746
2022-03-29,1730
2022-03-30,1724
2022-03-31,1736
2022-04-01,1711
2022-04-02,1711
2022-04-03,1711
2022-04-04,1695
2022-04-05,1710
2022-04-06,1739
2022-04-07,1727
2022-04-08,1704
2022-04-09,1704
2022-04-10,1704
2022-04-11,1724
2022-04-12,1733
2022-04-13,1719
2022-04-14,1702
2022-04-15,1702
2022-04-16,1702
2022-04-17,1702
2022-04-18,1691
2022-04-19,1687
2022-04-20,1672
2022-04-21,1721
2022-04-22,1738
2022-04-23,1738
2022-04-24,1738
2022-04-25,1780
2022-04-26,1756
2022-04-27,1778
2022-04-28,1778
2022-04-29,1801
2022-04-30,1801
2022-05-01,1801
2022-05-02,1818
2022-05-03,1795
2022-05-04,1750
2022-05-05,1783
2022-05-06,1806
2022-05-07,1806
2022-05-08,1806
2022-05-09,1847
2022-05-10,1858
2022-05-11,1835
2022-05-12,1887
2022-05-13,1894
2022-05-14,1894
2022-05-15,1894
2022-05-16,1936
2022-05-17,1924
2022-05-18,1950
2022-05-19,1955
2022-05-20,1945
2022-05-21,1945
2022-05-22,1945
2022-05-23,1912
2022-05-24,1936
2022-05-25,1924
2022-05-26,1926
2022-05-27,1908
2022-05-28,1908
2022-05-29,1908
2022-05-30,1909
2022-05-31,1919
2022-06-01,1912
2022-06-02,1896
2022-06-03,1893
2022-06-04,1893
2022-06-05,1893
2022-06-06,1905
2022-06-07,1931
2022-06-08,1970
2022-06-09,2051
2022-06-10,2044
