[2024-11-05T00:43:11.508+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-05T00:43:11.529+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: covid_indicators_v02.transform scheduled__2024-11-04T00:00:00+00:00 [queued]>
[2024-11-05T00:43:11.541+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: covid_indicators_v02.transform scheduled__2024-11-04T00:00:00+00:00 [queued]>
[2024-11-05T00:43:11.541+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 7
[2024-11-05T00:43:11.558+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): transform> on 2024-11-04 00:00:00+00:00
[2024-11-05T00:43:11.566+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'covid_indicators_v02', 'transform', 'scheduled__2024-11-04T00:00:00+00:00', '--job-id', '593', '--raw', '--subdir', 'DAGS_FOLDER/covid_dag.py', '--cfg-path', '/tmp/tmpsmnqlz4c']
[2024-11-05T00:43:11.569+0000] {standard_task_runner.py:105} INFO - Job 593: Subtask transform
[2024-11-05T00:43:11.571+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=4679) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-05T00:43:11.572+0000] {standard_task_runner.py:72} INFO - Started process 4680 to run task
[2024-11-05T00:43:11.616+0000] {task_command.py:467} INFO - Running <TaskInstance: covid_indicators_v02.transform scheduled__2024-11-04T00:00:00+00:00 [running]> on host 276004bbea2b
[2024-11-05T00:43:11.846+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='rolo' AIRFLOW_CTX_DAG_ID='covid_indicators_v02' AIRFLOW_CTX_TASK_ID='transform' AIRFLOW_CTX_EXECUTION_DATE='2024-11-04T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-04T00:00:00+00:00'
[2024-11-05T00:43:11.847+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-11-05T00:43:22.527+0000] {logging_mixin.py:190} INFO - +-----------+----------+-----------+---------+
|   location|      date|total_cases|new_cases|
+-----------+----------+-----------+---------+
|Afghanistan|2020-01-05|          0|        0|
|Afghanistan|2020-01-06|          0|        0|
|Afghanistan|2020-01-07|          0|        0|
|Afghanistan|2020-01-08|          0|        0|
|Afghanistan|2020-01-09|          0|        0|
|Afghanistan|2020-01-10|          0|        0|
|Afghanistan|2020-01-11|          0|        0|
|Afghanistan|2020-01-12|          0|        0|
|Afghanistan|2020-01-13|          0|        0|
|Afghanistan|2020-01-14|          0|        0|
|Afghanistan|2020-01-15|          0|        0|
|Afghanistan|2020-01-16|          0|        0|
|Afghanistan|2020-01-17|          0|        0|
|Afghanistan|2020-01-18|          0|        0|
|Afghanistan|2020-01-19|          0|        0|
|Afghanistan|2020-01-20|          0|        0|
|Afghanistan|2020-01-21|          0|        0|
|Afghanistan|2020-01-22|          0|        0|
|Afghanistan|2020-01-23|          0|        0|
|Afghanistan|2020-01-24|          0|        0|
|Afghanistan|2020-01-25|          0|        0|
|Afghanistan|2020-01-26|          0|        0|
|Afghanistan|2020-01-27|          0|        0|
|Afghanistan|2020-01-28|          0|        0|
|Afghanistan|2020-01-29|          0|        0|
|Afghanistan|2020-01-30|          0|        0|
|Afghanistan|2020-01-31|          0|        0|
|Afghanistan|2020-02-01|          0|        0|
|Afghanistan|2020-02-02|          0|        0|
|Afghanistan|2020-02-03|          0|        0|
|Afghanistan|2020-02-04|          0|        0|
|Afghanistan|2020-02-05|          0|        0|
|Afghanistan|2020-02-06|          0|        0|
|Afghanistan|2020-02-07|          0|        0|
|Afghanistan|2020-02-08|          0|        0|
|Afghanistan|2020-02-09|          0|        0|
|Afghanistan|2020-02-10|          0|        0|
|Afghanistan|2020-02-11|          0|        0|
|Afghanistan|2020-02-12|          0|        0|
|Afghanistan|2020-02-13|          0|        0|
|Afghanistan|2020-02-14|          0|        0|
|Afghanistan|2020-02-15|          0|        0|
|Afghanistan|2020-02-16|          0|        0|
|Afghanistan|2020-02-17|          0|        0|
|Afghanistan|2020-02-18|          0|        0|
|Afghanistan|2020-02-19|          0|        0|
|Afghanistan|2020-02-20|          0|        0|
|Afghanistan|2020-02-21|          0|        0|
|Afghanistan|2020-02-22|          0|        0|
|Afghanistan|2020-02-23|          0|        0|
|Afghanistan|2020-02-24|          0|        0|
|Afghanistan|2020-02-25|          0|        0|
|Afghanistan|2020-02-26|          0|        0|
|Afghanistan|2020-02-27|          0|        0|
|Afghanistan|2020-02-28|          0|        0|
|Afghanistan|2020-02-29|          0|        0|
|Afghanistan|2020-03-01|          1|        1|
|Afghanistan|2020-03-02|          1|        0|
|Afghanistan|2020-03-03|          1|        0|
|Afghanistan|2020-03-04|          1|        0|
|Afghanistan|2020-03-05|          1|        0|
|Afghanistan|2020-03-06|          1|        0|
|Afghanistan|2020-03-07|          1|        0|
|Afghanistan|2020-03-08|          1|        0|
|Afghanistan|2020-03-09|          1|        0|
|Afghanistan|2020-03-10|          1|        0|
|Afghanistan|2020-03-11|          1|        0|
|Afghanistan|2020-03-12|          1|        0|
|Afghanistan|2020-03-13|          1|        0|
|Afghanistan|2020-03-14|          1|        0|
|Afghanistan|2020-03-15|          7|        6|
|Afghanistan|2020-03-16|          7|        0|
|Afghanistan|2020-03-17|          7|        0|
|Afghanistan|2020-03-18|          7|        0|
|Afghanistan|2020-03-19|          7|        0|
|Afghanistan|2020-03-20|          7|        0|
|Afghanistan|2020-03-21|          7|        0|
|Afghanistan|2020-03-22|         24|       17|
|Afghanistan|2020-03-23|         24|        0|
|Afghanistan|2020-03-24|         24|        0|
|Afghanistan|2020-03-25|         24|        0|
|Afghanistan|2020-03-26|         24|        0|
|Afghanistan|2020-03-27|         24|        0|
|Afghanistan|2020-03-28|         24|        0|
|Afghanistan|2020-03-29|         91|       67|
|Afghanistan|2020-03-30|         91|        0|
|Afghanistan|2020-03-31|         91|        0|
|Afghanistan|2020-04-01|         91|        0|
|Afghanistan|2020-04-02|         91|        0|
|Afghanistan|2020-04-03|         91|        0|
|Afghanistan|2020-04-04|         91|        0|
|Afghanistan|2020-04-05|        274|      183|
|Afghanistan|2020-04-06|        274|        0|
|Afghanistan|2020-04-07|        274|        0|
|Afghanistan|2020-04-08|        274|        0|
|Afghanistan|2020-04-09|        274|        0|
|Afghanistan|2020-04-10|        274|        0|
|Afghanistan|2020-04-11|        274|        0|
|Afghanistan|2020-04-12|        521|      247|
|Afghanistan|2020-04-13|        521|        0|
+-----------+----------+-----------+---------+
only showing top 100 rows
[2024-11-05T00:43:22.805+0000] {python.py:240} INFO - Done. Returned value was: None
